text,is_correct,word_count,has_date
There are also 3D jigsaw puzzles .,False,7,False
English has changed and developed over time .,False,8,False
"English has developed over the course of more than 1,400 years .",False,12,False
"The election results of September 18 , 2005 were surprising .",False,11,True
"iOS 6.1 was released on January 28 , 2013 .",True,10,True
The purpose of the event is to have the hardest shot .,False,12,False
The final was held on 24 May 2008 .,False,9,True
The final was held on 24 May 2008 and was won by Russia .,False,14,True
"This movie was released on May 15 , 1992 .",True,10,True
"At the end of 2014 the population was 819 people , in 344 families .",True,15,True
In 2014 the population was 819 people .,True,8,True
"In May 2015 , Brazil officially reported its first 16 cases of the illness .",False,15,True
The first attack was made on January 17 .,True,9,False
Combs can be used for many purposes .,True,8,False
"The restaurant closed down on September 9 , 2000 .",True,10,True
"In February 1982 , two television antennas were added to the tower .",False,13,True
Gold and silver were found in the area in 1867 .,False,11,True
The winning team gets 3 points .,False,7,False
"Pannella died on 19 May 2016 of lung and liver cancer in Rome , aged 86 .",False,17,True
The island is 34 km long and 15 km wide ; it has an area of 175 km2 .,False,19,False
"However , several fishermen died since the 1980s .",False,9,True
"On August 10 , a day of memorials began peacefully .",True,11,False
"Sometimes , voice- tracking is done so that people can do other jobs .",False,14,False
"He started his acting career in the late 1990s , appearing in a number of off -Broadway stage productions .",False,20,True
"Construction of the bridge began on March 17 , 1952 .",False,11,True
"Construction of the bridge began on March 17 , 1952 , at a cost of $ 6.5 million .",False,19,True
The President is limited to a single five -year term .,False,11,False
"As an example , see the picture below : As one song ends , the next song begins .",False,19,False
The sea is mostly ice-covered .,False,6,False
"Murt died of cancer on 1 December 2014 , aged 68 .",True,12,True
"Murt died from cancer in Barcelona , Spain , aged 68 .",False,12,False
Some people keep them as a pet .,False,8,False
"Iran has an area of 1,648,000 square kilometres and is the sixteenth largest in size .",False,16,False
He moved to Paris in 1802 where he spent the rest of his life .,False,15,True
"He died in 2005 at the age of 87 in New York City , after suffering from cancer .",False,19,True
The two teams have never played each other before .,False,10,False
The two teams had never met before .,False,8,False
"Historically , Latin or Romance has been the official language .",False,11,False
"She died after a short illness on 15 May 2015 , aged 86 .",False,14,True
"In the late 19th century , Westerners knew little about Japan .",False,12,False
One Billion Rising for Justice was in February 2014 .,False,10,True
"Grosics died on 13 June 2014 , aged 88 .",True,10,True
The port of the mosque measures 27 meters high .,False,10,False
She turned 100 in September 2017 and died on 19 January 2018 .,False,13,True
Gathering was the job of the women and children .,False,10,False
"The university has approximately 27,700 students and employs around 6,000 people .",False,12,False
"By the end of 2008 , there were a total of 14 schools with about 9268 students .",False,18,True
There are two temples .,False,5,False
The speech lasted 40 minutes and 14 seconds .,False,9,False
This system is found in other fish as well .,False,10,False
This plant is easy to grow .,True,7,False
Worldwide production of apples in 2013 was 90.8 million tonnes .,False,11,True
The company also produces soft drinks .,False,7,False
They also make some soft drinks .,True,7,False
"In 2007 , Rose suffered a stroke .",False,8,True
The oldest parts of the building date from 1094 .,False,10,True
Casting has begun for a second season .,False,8,False
The sea is frozen over most of the year .,False,10,False
"Construction began on January 5 , 1933 and was finished in April 1937 .",False,14,True
"Construction began on January 5 , 1933 .",True,8,True
"Of his next nine fights , Rose won eight .",False,10,False
"On 9 December , it was confirmed that at least 80 foreign heads of state and government would travel to South Africa to attend events .",False,26,False
"Currently , the Philippines is divided into 17 regions .",False,10,False
"Right now , there are 62 cats for the player to collect .",False,13,False
This movie was released in September of 2002 .,True,9,True
"The film was released on September 20 , 2002 .",False,10,True
"In 2015 , the aquarium had 2.02 million visitors .",False,10,True
Many cultures or religions have food taboos .,False,8,False
"Usually , the female builds the nest , and the male helps her .",False,14,False
She died after a long illness on 6 April 2014 at the age of 85 .,True,16,True
She died after long illness on 6 April 2014 .,True,10,True
"The book was first published in 1975 , then reprinted in 1976 .",False,13,True
The book was first published in 1975 .,False,8,True
"He died on 12 July 2019 , four days before his 85th birthday .",False,14,True
Burns died on 25 May 2019 after a short illness .,False,11,True
The song has been recorded by many other artists .,False,10,False
The song has been covered by number of artists .,False,10,False
Her career started in 1950 .,True,6,True
The phrase is used in many contexts .,False,8,False
"At first , during the 1820s and 1830s , she just wrote for piano .",False,15,True
He died 23 December 2018 at the age of 86 after a brief illness .,False,15,True
The following table gives a summary of the different schedules .,False,11,False
Puar died on 2 January 2015 following a short illness .,True,11,True
"Puar died after a short illness on 1 January 2015 , aged 83 .",False,14,True
The university 's 150th anniversary was celebrated in 2003 .,False,10,True
"The airport opened June 16 , 1941 , just before US entry into World War II .",False,17,True
"The airport opened on June 16 , 1941 .",False,9,True
The park was created on 12 June 1981 .,True,9,True
"Tickets went on sale to the public on November 3 , 2007 .",False,13,True
"For the second season , the show began to change .",False,11,False
"In the 15th century , the first Europeans arrived .",False,10,False
Pussy Riot have released seven songs .,False,7,False
Pussy Riot released seven songs and five videos .,False,9,False
Miso is a very important part of Japanese food .,False,10,False
Miso is a part of many Japanese -style meals .,False,10,False
It was released on 19 March 2004 in Spain and on 10 September 2004 in Mexico .,False,17,True
The four little people left the United States on 21 June 1869 .,False,13,True
The four little ones left the United States on 21 June 1869 .,False,13,True
"The island 's animals are mainly birds , although rabbits are long established here .",False,15,False
The church was destroyed by a fire on 12 November 2001 .,False,12,True
"At the beginning of the 19th century , the building was used as a restaurant .",False,16,False
"The date 27 April is now a public holiday in South Africa , Freedom Day .",False,16,False
The songs tell personal stories of life in the wide open country of Australia .,False,15,False
The band had seven Top 40 hits between 1973 and 1976 .,False,12,True
They had seven Top 40 songs between 1973 and 1976 .,True,11,True
In the Sunday paper every week was included a weekly magazine .,False,12,False
A weekly magazine was included in the Sunday paper .,True,10,False
It received city rights in 1249 .,False,7,True
It got city rights in 1249 .,True,7,True
"In 1972 , video recording industry in Japan started to lose money .",False,13,True
Horse races are taking place on Thursday .,False,8,False
Horse races take place in on Thursdays .,False,8,False
Large died on 3 November 2018 from a heart attack at the age of 75 .,False,16,True
Up to five players can play at a time .,False,10,False
There are three differences to the previous report .,False,9,False
Rooth died in Sweden on 27 February 1972 at the age of 83 .,False,14,True
"The quarter has a population 19,921 and an area of 2.46 km",False,12,False
"The movie 's DVD was released on October 10 , 2006 .",False,12,True
"With county codes , official until 1974 .",False,8,True
"Juuso died on 23 August 2014 , aged 68 .",True,10,True
"Juuso died after a long illness on 23 August 2014 , aged 69 .",True,14,True
"Like all eastern spices , pepper was historically both a seasoning and a medicine .",False,15,False
Cricket is the most popular sport in Bangladesh .,True,9,False
"Cricket is one of the most popular sports in Bangladesh , followed by football .",False,15,False
These camps were closed by October 1942 .,True,8,True
"In the United States and Canada , digital clocks and computers usually show 12 a. m. right at midnight .",False,20,False
"The bridge opened on December 31 , 1909 .",True,9,True
"The bridge opened to traffic on December 31 , 1909 .",False,11,True
"In the late 1950s , he studied filmmaking in France .",False,11,True
Football is the most popular sport in Costa Rica .,False,10,False
Forty - nine people have been governor of the state .,False,11,False
"Shepodd died on August 16 , 2017 at his London , England home at the age of 92 .",False,19,True
"In March 2011 , the band announced they would take a break .",False,13,True
"Ryman died on February 8 , 2019 in New York City at the age of 88 .",False,17,True
"Ireland died on 31 July 2014 from brain cancer , aged 68 .",False,13,True
Ireland died of cancer on 31 July 2014 aged 68 .,True,11,True
Listed from north to south,True,5,False
Listed from north to south .,True,6,False
Two investigations have been held by the British government .,False,10,False
"There are also journals , online articles and blogs available .",False,11,False
The French press has different names around the world .,False,10,False
Tor is an man one inch tall who can not fall asleep no matter what he tries .,False,18,False
The development of the game began in early 2012 .,False,10,True
The game started to be developed in early 2012 .,False,10,True
"Today , it is the largest public university in Bangladesh , with a student body of 33,000 and a faculty of 1,800 .",False,23,False
"Until the mid-19th century , Mexico was the biggest producer of vanilla .",False,13,False
"The city hall has a total area of 19,380 m2 including the basement .",False,14,False
Windfeld died in February 2015 after a short illness .,False,10,True
Windfeld died on 6 February 2015 after a short illness .,False,11,True
Regular bus services operate around the city .,False,8,False
In the years 1219 and / or 1234 it appears as a church village .,False,15,True
"Thomas died on April 30 , 2016 of natural causes at the age of 91 .",True,16,True
"The government is led by the Prime Minister , who selects all the remaining ministers .",False,16,False
"The building was completed in 1941 , after the start of World War II .",False,15,True
The movie got very bad reviews from movie critics .,False,10,False
Not much is known about his life .,False,8,False
Little is known about his life .,False,7,False
The airport was closed for about five hours after the crash .,False,12,False
Several different explanations exist for the original name .,False,9,False
It has a population of 218 people .,False,8,False
It has a population of 218 .,True,7,False
The province is divided into 6 districts and 12 municipalities .,False,11,False
"Blight disappeared on April 3 , 2005 .",False,8,True
"On April 3 , 2005 , Blight disappeared .",True,9,True
"On April 15 , 2013 , a fire began in the library .",True,13,True
There are three hostels for male students and two for the female students .,False,14,False
The land battle took place over about 81 days beginning on 1 April 1945 .,False,15,True
"Beutel died on 8 May 2019 , at the age of 72 .",True,13,True
Ana wakes up three days later in the hospital with Christian at her side .,False,15,False
The park was established in 1981 .,False,7,True
The park was created in 1981 .,True,7,True
The movie received mixed reviews .,False,6,False
"Arrow was born on 23 August 1921 , in New York City .",True,13,True
"Arrow was born on August 23 , 1921 in New York City , New York .",False,16,True
This park has three valleys .,False,6,False
"Thus , the mean of the grouped data is",False,9,False
"The gallery was started in 1897 , as the National Gallery of British Art .",False,15,True
The diving had 136 athletes representing 25 countries .,False,9,False
"Trass died on 14 February 2017 , aged 88 .",False,10,True
The speech lasted 43 minutes and 2 seconds and had 4931 words .,False,13,True
"About 120,000 requests are made each year .",True,8,False
The third theme was used from 1962 to 1967 .,False,10,True
This award was first given for films released in 1934 .,False,11,True
The park has 104 species of plants .,True,8,False
"Dufresne died on 14 June 2014 in New York City from cancer , aged 78 .",False,16,True
"Dufresne died on 14 June 2014 in New York City at the age of 78 , from cancer .",False,19,True
Farren died on 3 February 2016 of cancer .,False,9,True
Farren died of cancer on 3 February 2016 .,False,9,True
The major difficulty in the use of natural gas is transportation .,False,12,False
"In 2007 , the club began to play floorball .",False,10,True
In 1953 he began working at a Brazilian hospital .,False,10,True
"In 1953 , he began working at a Brazilian hospital .",False,11,True
The band 's second world tour began in January 2001 .,False,11,True
The band 's second world tour started in January 2001 .,False,11,True
"Luria arrived in New York City on September 12 , 1940 and soon changed his first and middle names .",False,20,True
"Vadnais died of cancer on August 31 , 2014 at the age of 68 .",False,15,True
"Vadnais died of cancer on August 31 , 2014 , at the age of 68 .",False,16,True
Note : Tie games were not counted in the standings until 1972 .,False,13,True
At the top of the emblem is the national crest that has two horns with corn in the ear and filled with sand .,False,24,False
Gribbles bore into wood and plant material for food .,False,10,False
A port of call is a place where a ship stops before it has finished its trip .,False,18,False
He reached the height of his musical career in the early nineties .,False,13,False
The above arguments hold in any ring .,False,8,False
There are two versions that are often performed : a long one and a short one .,False,17,False
The swimming competition was held in the open sea because the organizers had refused to spend the money necessary for a specially constructed stadium .,False,25,False
The swimming competition was held in the open sea .,False,10,False
The two common forms of playing golf are match play and stroke play .,False,14,False
Over the next three to four days a massive nationwide hunt was launched to find the stolen items .,False,19,False
The tomato is grown and eaten around the world .,False,10,False
"Like Chinese , Japanese implements extensive use of Chinese characters , called kanji in Japanese .",False,16,False
Each programme has two teams of three people .,False,9,False
Concussions prevented him from playing longer .,False,7,False
"On February 14 , 2013 , there were rallies in more than 190 countries .",False,15,True
Some octopus species are also able to walk along the sea bed .,False,13,False
A properly engineered structure does not necessarily have to be extremely strong or expensive .,False,15,False
"Many species have five petals , often grown together .",False,10,False
"The country has a total area of , of which 27,560 km2 is land and 190 km2 is water .",False,20,False
In England they are often used as the fish in fish and chips .,False,14,False
"Regardless of the venue , musicians usually perform on a stage .",False,12,False
The central urban area forms one unit .,False,8,False
A useful way to work around these gaps in knowledge is to find links to other known events .,False,19,False
"The species can also be found in northern Germany , but the population there is low .",False,17,False
"Pinnipeds spend many months at a time at sea , so they must sleep in the water .",False,18,False
In 1933 the first gravel runways were built .,False,9,True
Acute hospitals are those intended for short -term medical and / or surgical treatment and care .,False,17,False
The first European to come to the region may have been the Spaniard Alonso de Ojeda in 1499 .,False,19,True
Many visual novels use voice actors to provide voices for the characters in the game .,False,16,False
Each side had three overall goals in this battle .,False,10,False
It has two stable isotopes .,False,6,False
"In Singapore , 7 - Eleven forms the largest chain of convenience stores island-wide .",False,15,False
"Australian Mists are medium-sized short - haired cats , with a round head and large eyes .",False,17,False
Australian Mists are okay with being picked up and held .,False,11,False
"Though never intended as a teaching tool , various viewers used the knowledge they obtained watching the show .",False,19,False
Masks of dead people are a tradition in many countries .,False,11,False
"Despite the key rarely being used in orchestral music other than to modulate , it is not entirely uncommon in keyboard music .",False,23,False
"Since 1990 , the President 's term has begun and ended on March 1 .",False,15,True
The history of the city has always been closely connected to shipbuilding .,False,13,False
Music was an early part of Christmas and its celebrations .,False,11,False
There were several inter-promotional matches after Unforgiven .,False,8,False
Some rice proteins are regarded as the causes of allergy in some people .,False,14,False
Regular hand washing reduces the spread of cold viruses .,False,10,False
Adding to science and technology has happened throughout the country 's history .,False,13,False
"Kestrels can fly in stationary air , even indoors in barns .",False,12,False
He quit the band in 2008 to put more energy into his career as a pilot .,False,17,True
"In golf , a golfer plays a number of holes in a given order .",False,15,False
The coat of arms of the region changed during the ages .,False,12,False
Many species of skippers look very alike .,False,8,False
The federal government owns about twenty - eight percent of the land in the United States .,False,17,False
The French were the first Europeans to live in Canada permanently .,False,12,False
The chessboard on the top of the box was thin .,False,11,False
"Currently there are 30 volumes available on the database , including more than 11,000 items and more than 11,000 illustrations and photographs .",False,23,False
People first began using weather charts in a modern way in the mid-19th century .,False,15,False
An Avenue of Honor also remembers those who died in World War I .,False,14,False
Gender relations are another area examined by the stories .,False,10,False
"There are however many variations , and many surprising aspects .",False,11,False
A- flat minor is rarely used as the main key of a piece of music .,False,16,False
The remaining three of the 33 tracks are instrumentals .,False,10,False
"Since preservation , the railway has operated as a tourist attraction .",False,12,False
"In addition , the season has won many awards during its runtime .",False,13,False
"All defensive players wear fielding gloves , made of leather or similar material .",False,14,False
"Oll , who was married , fell into severe depressions after he divorced .",False,14,False
"Even though there were such criticisms , the novel was still very popular .",False,14,False
"The ride will not operate in the rain , even during drizzling conditions .",False,14,False
It is a popular place for whitewater rafting and kayaking .,False,11,False
"The design on the shield shows the sun , also found on the flag , rising from a blue and white sea .",False,23,False
County Roads 7 and 11 are also in the immediate area .,False,12,False
The lake has relatively high levels of dissolved salts .,False,10,False
Astronomy is one of the oldest sciences .,False,8,False
Summer activities such as concerts and boxing matches often tear up the pitch .,False,14,False
"The population was 41,558 at the 2010 census .",False,9,True
These groups are no longer registered and can no longer take part in elections .,False,15,False
"The flowers are small , and plentiful .",False,8,False
"There are 670 bird species in Rwanda , with variation between the east and the west .",False,17,False
Philosophy is the study of humans and the world by thinking and asking questions .,False,15,False
It is not known who made the coat of arms .,False,11,False
This version of the coat of arms is in use since 1907 .,False,13,True
Blood or urine tests measure hCG .,False,7,False
Hatchlings are about 1.5 cm long and weigh between 0.3 and .,False,12,False
"The city is a popular tourist destination , with an average year- round temperature of 75.5 F and 3,000 hours of sunshine per year .",False,25,False
"After boxing , Rose became a successful businessman .",False,9,False
"There are a lot of operating systems , which are based on FreeBSD .",False,14,False
"These are the best known , most widely used real-time operating systems .",False,13,False
"Sometimes , a train does not have enough speed to make it over the 215 ft top hat element .",False,20,False
"Skiing , snowboarding and mountaineering are among the most popular sports in Switzerland .",False,14,False
"The city has about 10 km2 of greenspace , lakes , forests and farmland .",False,15,False
The movement began in the late 1960s .,False,8,True
Harvestmen are not dangerous to humans .,False,7,False
Testing was slow as they were still getting the Saturn V ready for Apollo 4 .,False,16,False
This created a bottleneck in the German advance .,False,9,False
Bears do not have many predators .,False,7,False
There are 351 identified plant species in the park ; three of these are rare and protected .,False,18,False
There are many lodges and reserves for tourists .,False,9,False
"After the heavy losses in the battle , people questioned why the US went into the battle .",False,18,False
Two versions of the plane were made .,False,8,False
A safety is scored if a player causes the ball to become dead in his own end zone .,False,19,False
Assuming a comfortable position helps the baby to latch properly .,False,11,False
"As of August 2014 , the game has 18 million registered users .",False,13,True
There are two versions of the anthem : a long and a short one .,False,15,False
"By 1994 , rock and roll slowly began to decline .",False,11,True
"Amazed that she loves him , he asks her to marry him .",False,13,False
The line was abandoned in 1980 .,False,7,True
At the end of the 20th century the whole building was restored .,False,13,False
"For most sports the athletes wear a combination of different items of clothing , e. g. sport shoes , pants and shirts .",False,23,False
"As of 2005 , the municipality had a total population of 2,647 .",False,13,True
The movie is about aliens who want to stop humans from creating a weapon that will destroy the universe .,False,20,False
A dry-cleaning machine is similar to a combination of a domestic washing machine and clothes dryer .,False,17,False
Many court decisions are published in more than one reporter .,False,11,False
Each chapter has a lot of authors who are responsible for writing and editing the material .,False,17,False
Many countries also have their own exams .,False,8,False
Pubs usually will have beermats spread out across their surfaces .,False,11,False
Restaurants and bars usually will have coasters out on their tables .,False,12,False
Other forms of PH are far more common .,False,9,False
Other forms of PAH are far more common .,False,9,False
A point is scored when one team catches the disc in the other team 's end zone .,False,18,False
The city is a popular tourist destination .,False,8,False
Most click beetles are under 2 centimeters long and dull in color .,False,13,False
This species is blue-green to green in color and commonly grows to approximately 46 cm .,False,16,False
This list has the name of the Pharaoh followed by the actual one written on the stone .,False,18,False
Construction of the bridge started in September 1938 .,False,9,True
A concert tour is a series of concerts by an artist or group of artists in different cities or locations .,False,21,False
It has been a real confusion on who won the war .,False,12,False
"Three foot messengers are running along the riverside , one of them stops to take a drink from the river .",False,21,False
There are several types of vaccines in use .,False,9,False
"The fifth generation iPod touch currently runs iOS 7 , which was released on September 18 , 2013 .",False,19,True
The region is famous for its beautiful palm beaches .,False,10,False
The process of cell reproduction has three major parts .,False,10,False
The development of the area for tourism began in earnest in the 19th century .,False,15,False
Many scale species are serious crop pests .,False,8,False
"s of April 2019 , there are five living former presidents of Peru .",False,14,True
There are five living former presidents .,False,7,False
Population is based on the 2002 census .,False,8,True
Ana again notices the same woman seeing her and Christian from a distance .,False,14,False
Some patients arrive at an emergency department for a complaint of mental illness .,False,14,False
Both sides claimed victory after the battle .,False,8,False
"For different rings to exist , something must separate them .",False,11,False
"She plays several instruments such as acoustic guitar , accordion , and keyboard .",False,14,False
"Venegas plays several instruments including acoustic guitar , accordion , and keyboard .",False,13,False
It has direct responsibility for maintaining and running over 200 monuments .,False,12,False
There are a wide variety of different types of shoes .,False,11,False
"Stone , brick and other similar materials are strong in compression .",False,12,False
Coble had skin cancer for many years .,False,8,False
A pinscreen is a white screen perforated with thousands of pins in small holes .,False,15,False
Most video games have one player character for each person playing the game .,False,14,False
Animals respond to threats in many complex ways .,False,9,False
"In other cultures , the name may include the place of residence , or the place of birth .",False,19,False
This work supported the big-bang theory of the universe beginning .,False,11,False
"In the 1970s , Olympic athletes were required to be amateur .",False,12,True
Games can be played on indoor or outdoor fields of varying sizes .,False,13,False
Women did not get the federal vote until 1971 .,False,10,True
The collection and library were in rooms at the university .,False,11,False
During the industrialization the textile industry prospered .,False,8,False
God created the universe and everything in it in six days .,False,12,False
Outside politics he graduated as cand . jur .,False,9,False
Before becoming a politician he was a businessman .,False,9,False
Snow is used for some winter sport activities like skiing and sledding .,False,13,False
"After World War II , the countries in Europe wanted to live peacefully together and help one another 's economies .",False,21,False
"People here are mainly engaged in agriculture such as paddy , banana and tapioca .",False,15,False
There were 14 surviving kittens in 2008 and 15 in 2009 .,False,12,True
There were 14 surviving cubs in 2008 and 15 in 2009 .,False,12,True
Cockatoos are active mainly during the day and require daylight to find their food .,False,15,False
"In 2017 , he announced he would run for Governor of Alaska in 2018 , but left the race in September 2017 .",False,23,True
"The city suffered from plague outbreaks in 1544 , 1589 and 1598 .",False,13,True
This species breeds in colonies on coasts and lakes .,False,10,False
Females have a body length of about 8 mm and males are slightly smaller .,False,15,False
Human impacts during the 19th and 20th century have been significant .,False,12,False
The club 's traditional home colors are all white .,False,10,False
Jigsaw puzzles come in a variety of sizes .,False,9,False
"As of 2005 , the municipality had a total population of 2647 .",False,13,True
"Brown recluse spiders are usually between 6 and , but may grow larger .",False,14,False
Each region is named after its capital .,False,8,False
There are a number of different ways to make rocket candy .,False,12,False
It is extremely toxic .,False,5,False
"iOS 7 was released on September 18 , 2013 to all iOS devices .",False,14,True
Inert gases are often used in the chemical industry .,False,10,False
The new city quickly became a major success .,False,9,False
The first allotments in the town were sold in 1840 .,False,11,True
The first land sales took place in 1837 .,False,9,True
It was once used as a black pigment .,False,9,False
A total of 44 nations sent athletes to compete at the Paris games .,False,14,False
